n	Abweichung
5	0	
6	0
7	0
8	0
9	1
10	0
11	-1
12	1
13	0
14	0
15	1
16	0
17	-1
18	1
19	0
20	0
21	1
22	0
23	-1
24	1
25	0
26	0
27	1
28	0
29	-1
30	1
31	0
32	0
33	1
34	0
35	-1
36	1
37	0
38	0
39	1
40	0
41	-1
42	1
43	0
44	0
45	1
46	0
47	-1
48	1
49	0
50	0
51	1
52	0
53	-1
54	1
55	0
56	0
57	1
58	0
59	-1
60	1
61	0
62	0
63	0
64	0
65	-1
66	1
67	0
68	0
69	1
70	0
71	-1
72	1
73	0
74	0
75	0
76	0
77	-1
78	1
79	0
80	0
81	1
82	0
83	-1
84	1
85	0
86	0
87	1
88	0
89	-1
90	1
91	0
92	0
93	1
94	0
95	-1
96	0
97	0
98	0
99	1
100	0
101	-1
102	1
103	0
104	0
105	0
106	0
107	-1
108	1
109	0
110	0
111	0
112	0
113	-1
114	1
115	0
116	0
117	1
118	0
119	0
120	1
121	0
122	0
123	1
124	0
125	-1
126	0
127	0
128	0
129	1
130	0
131	-1
132	1
133	0
134	0
135	1
136	0
137	-1
138	1
139	0
140	0
141	1
142	0
143	0
144	1
145	0
146	0
147	0
148	0
149	-1
150	1
151	0
152	0
153	0
154	0
155	-1
156	1
157	0
158	0
159	1
160	0
161	-1
162	1
163	0
164	0
165	0
166	0
167	-1
168	1
169	0
170	0
171	1
172	0
173	-1
174	0
175	0
176	0
177	1
178	0
179	-1
180	1
181	0
182	0
183	1
184	0
185	0
186	1
187	0
188	0
189	1
190	0
191	-1
192	1
193	0
194	0
195	1
196	0
197	-1
198	1
199	0
200	0
201	1
202	0
203	0
204	1
205	0
206	0
207	1
208	0
209	-1
210	0
211	0
212	0
213	1
214	0
215	0
216	0
217	0
218	0
219	1
220	0
221	-1
222	1
223	0
224	0
225	1
226	0
227	-1
228	1
229	0
230	0
231	1
232	0
233	-1
234	1
235	0
236	0
237	1
238	0
239	-1
240	0
241	0
242	0
243	1
244	0
245	0
246	1
247	0
248	0
249	1
250	0
251	-1
252	1
253	0
254	0
255	1
256	0
257	-1
258	1
259	0
260	0
261	0
262	0
263	-1
264	1
265	0
266	0
267	0
268	0
269	-1
270	0
271	0
272	0
273	1
274	0
275	-1
276	1
277	0
278	0
279	0
280	0
281	-1
282	1
283	0
284	0
285	1
286	0
287	0
288	1
289	0
290	0
291	1
292	0
293	-1
294	0
295	0
296	0
297	1
298	0
299	0
300	1
301	0
302	0
303	1
304	0
305	-1
306	1
307	0
308	0
309	1
310	0
311	-1
312	1
313	0
314	0
315	0
316	0
317	-1
318	1
319	0
320	0
321	0
322	0
323	0
324	1
325	0
326	0
327	1
328	0
329	-1
330	1
331	0
332	0
333	1
334	0
335	-1
336	0
337	0
338	0
339	1
340	0
341	0
342	1
343	0
344	0
345	1
346	0
347	-1
348	1
349	0
350	0
351	0
352	0
353	-1
354	1
355	0
356	0
357	1
358	0
359	-1
360	0
361	0
362	0
363	1
364	0
365	-1
366	1
367	0
368	0
369	1
370	0
371	-1
372	1
373	0
374	0
375	1
376	0
377	-1
378	1
379	0
380	0
381	1
382	0
383	-1
384	1
385	0
386	0
387	1
388	0
389	-1
390	1
391	0
392	0
393	0
394	0
395	-1
396	1
397	0
398	0
399	0
400	0
401	-1
402	1
403	0
404	0
405	0
406	0
407	-1
408	1
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	1
418	0
419	-1
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	-1
432	1
433	0
434	0
435	1
436	0
437	-1
438	0
439	0
440	0
441	1
442	0
443	-1
444	1
445	0
446	0
447	1
448	0
449	-1
450	0
451	0
452	0
453	0
454	0
455	-1
456	1
457	0
458	0
459	1
460	0
461	-1
462	1
463	0
464	0
465	0
466	0
467	-1
468	1
469	0
470	0
471	1
472	0
473	0
474	1
475	0
476	0
477	1
478	0
479	-1
480	1
481	0
482	0
483	0
484	0
485	-1
486	1
487	0
488	0
489	1
490	0
491	-1
492	1
493	0
494	0
495	1
496	0
497	-1
498	1
499	0
500	0
501	1
502	0
503	-1
504	0
505	0
506	0
507	1
508	0
509	-1
510	1
511	0
512	0
513	1
514	0
515	0
516	0
517	0
518	0
519	1
520	0
521	-1
522	1
523	0
524	0
525	0
526	0
527	0
528	1
529	0
530	0
531	0
532	0
533	0
534	1
535	0
536	0
537	1
538	0
539	-1
540	0
541	0
542	0
543	0
544	0
545	-1
546	1
547	0
548	0
549	1
550	0
551	0
552	1
553	0
554	0
555	1
556	0
557	-1
558	1
559	0
560	0
561	1
562	0
563	-1
564	1
565	0
566	0
